"","ticker","name","sector","industry","PE_ratio","market_cap","short_name"
"187","GE","General Electric Company","Industrials","Specialty Industrial Machinery",13.280957,138910710668,"Gener. Ele."
"188","GEN","Gen Digital Inc.","Technology","Software—Infrastructure",10.233184,14536340000,"Gen Digital"
"189","GILD","Gilead Sciences, Inc.","Healthcare","Drug Manufacturers—General",17.346895,100941853913,"Gilead Sci."
"190","GIS","General Mills, Inc.","Consumer Defensive","Packaged Foods",15.526829,36216174000,"Gener. Mil."
"191","GL","Globe Life Inc.","Financial Services","Insurance—Life",15.045735,11456133032,"Globe Life"
"192","GLW","Corning Incorporated","Technology","Electronic Components",44.779412,25979175065,"Corni. orp."
"193","GM","General Motors Company","Consumer Cyclical","Auto Manufacturers",5.044944,49191764919,"Gener. Mot."
"194","GNRC","Generac Holdlings Inc.","Industrials","Specialty Industrial Machinery",51.083004,7939417011,"Gener. Hol."
"195","GOOG","Alphabet Inc.","Communication Services","Internet Content & Information",26.998084,1755459040000,"Alphabet"
"196","GPC","Genuine Parts Company","Consumer Cyclical","Specialty Retail",15.632054,19417233393,"Genui. Par."
"197","GPN","Global Payments Inc.","Industrials","Specialty Business Services",38.719512,33069345342,"Global Pay."
"198","GRMN","Garmin Ltd.","Technology","Scientific & Technical Instruments",23.715867,24593696637,"Garmin"
"199","GS","Goldman Sachs Group, Inc. (The)","Financial Services","Capital Markets",18.600289,125804405237,"Goldm. Sac."
"200","GWW","W.W. Grainger, Inc.","Industrials","Industrial Distribution",23.109035,41131323763,"W W Grainger"
"201","HAL","Halliburton Company","Energy","Oil & Gas Equipment & Services",12.42268,32356120473,"Halliburton"
"202","HAS","Hasbro, Inc.","Consumer Cyclical","Leisure",75.313953,7085297294,"Hasbro"
"203","HBAN","Huntington Bancshares Incorpora","Financial Services","Banks—Regional",8.423841,18419515182,"Hunt. Ba. or."
"204","HCA","HCA Healthcare, Inc.","Healthcare","Medical Care Facilities",13.366914,72450425344,"HCA Health."
"205","HD","Home Depot, Inc. (The)","Consumer Cyclical","Home Improvement Retail",22.625641,351287620458,"Home Depot"
"206","HES","Hess Corporation","Energy","Oil & Gas E&P",30.285714,44280014770,"Hess"
"207","HIG","Hartford Financial Services Gro","Financial Services","Insurance—Property & Casualty",11.056396,24175878774,"Hart. Fi. Se."
"208","HII","Huntington Ingalls Industries, ","Industrials","Aerospace & Defense",19.595472,10313798115,"Hunt. In. In."
"209","HLT","Hilton Worldwide Holdings Inc.","Consumer Cyclical","Lodging",36.785859,46695215137,"Hilt. Wo. Ho."
"210","HOLX","Hologic, Inc.","Healthcare","Medical Instruments & Supplies",39.043716,17148200202,"Hologic"
"211","HON","Honeywell International Inc.","Industrials","Conglomerates",25.986369,138251452553,"Honey. Int."
"212","HPE","Hewlett Packard Enterprise Comp","Technology","Communication Equipment",9.928571,1.9877e+10,"Hewl. Pa. En."
"213","HPQ","HP Inc.","Technology","Computer Hardware",8.806748,28448809310,"HP"
"214","HRL","Hormel Foods Corporation","Consumer Defensive","Packaged Foods",20.944828,16607532500,"Hormel Foo."
"215","HSIC","Henry Schein, Inc.","Healthcare","Medical Distribution",22.399408,9837631797,"Henry Sche."
"216","HST","Host Hotels & Resorts, Inc.","Real Estate","REIT—Hotel & Motel",18.542857,13734858623,"Host Ho. Res."
"217","HSY","The Hershey Company","Consumer Defensive","Confectioners",20.090517,38126641424,"The Hershey"
"218","HUBB","Hubbell Inc","Industrials","Electrical Equipment & Parts",24.994681,17637900906,"Hubbell"
"219","HUM","Humana Inc.","Healthcare","Healthcare Plans",18.933416,56361318723,"Humana"
"220","HWM","Howmet Aerospace Inc.","Industrials","Aerospace & Defense",35.142857,22283604438,"Howmet Aer."
"221","IBM","International Business Machines","Technology","Information Technology Services",21.103226,149340543922,"Inte. Bu. Ma."
"222","ICE","Intercontinental Exchange Inc.","Financial Services","Financial Data & Stock Exchanges",29.798144,73508696447,"Inter. Exc."
"223","IDXX","IDEXX Laboratories, Inc.","Healthcare","Diagnostics & Research",56.58002,46097847195,"IDEXX Labo."
"224","IEX","IDEX Corporation","Industrials","Specialty Industrial Machinery",26.704797,16419060772,"IDEX"
"225","IFF","International Flavors & Fragran","Basic Materials","Specialty Chemicals",1349.5,20669951479,"Inte. Fl. Fr."
"226","INCY","Incyte Corporation","Healthcare","Biotechnology",33.398936,14071819054,"yte"
"227","INTC","Intel Corporation","Technology","Semiconductors",16.840206,2.11854e+11,"Intel"
"228","INTU","Intuit Inc.","Technology","Software—Application",69.148959,176788183250,"Intuit"
"229","INVH","Invitation Homes Inc.","Real Estate","REIT—Residential",42.111111,20873895532,"Invit. Hom."
"230","IP","International Paper Company","Consumer Cyclical","Packaging & Containers",16.582569,12508525864,"Inter. Pap."
